reference_id,date,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode
"5162","2/2/2011","8:30","1",,,"Internationa Waters (Arabian Sea)","Oman","698","20.2667","63.6","1","1",".",".","Around 225NM ESE of Ras al Hadd, Oman. Off Somalia","Duqm","Panama","95","Steaming","1","1",,"-99"
"5164","2/5/2011","9:30","1",,,"India","India","750","10.0017","71.99","1","1",".",".","Around 155NM NW of Minicoy Island, India. Off Somalia","Chios","Greece","350","Steaming","1","1",,"-99"
"5165","2/8/2011","4:50","4",,"Hijacked","Internationa Waters (Arabian Sea)","India","750","12.1167","65.5833","1","1",".",".","Around 490NM NW of Minicoy Island, India. Off Somalia.","Savina Caylyn","Italy","325","Steaming","1","1","1","1"
"5166","2/8/2011","9:18","1",,,"Internationa Waters (Arabian Sea)","India","750","13.1","64.15","1","1",".",".","Around 560NM East of Socotra Island, Yemen. Off Somalia","Delphinius Leader","Panama","95","Steaming","1","1",,"-99"
"5167","2/9/2011","9:26","1",,"Hijacked","Internationa Waters (Arabian Sea)","Oman","698","21.45","63.3","1","1",".",".","Around 205NM WNW of Ras al Hadd, Oman. Off Somalia","Irene SL","Greece","350","Steaming",,"1","1","1"
"5168","2/9/2011","3:15","4",,"Boarded","Malaysia","Malaysia","820","1.3467","104.3417","1","1",".",".","South of Tanjung Penyusop, Malaysia","Jose Bright","Panama","95","Anchored","1","2","1","2"
"5170","2/10/2011","0:45","4",,,"Nigeria","Nigeria","475","5.5317","3.09","1","1",".",".","Around 50NM Off Lagos, Nigeria","Elbtank Germany","Liberia","450","Steaming","1","1",,"-99"
"5169","2/10/2011","14:40","2",,,"Yemen","Yemen","679","13.16","43.1083","1","1",".",".","Bab El Mandeb, Red Sea","CS Daisy","Panama","95","Steaming",,"1",,"-99"
"5171","2/11/2011","8:15","1",,"Boarded","Indonesia","Indonesia","850","1.1667","103.5833","1","1",".",".","Around 3NM East of Pilot Western Boarding Ground "B", Singapore Straits","Pacific History & Barbeel","Dominica/Netherlands","210","Steaming",,"1","1","2"
"5172","2/12/2011","12:18","2",,"Hijacked","Internationa Waters (Arabian Sea)","Oman","698","20.2572","64.2682","1","1",".",".","Around 280NM SE of Ras al Hadd, Oman. Off Somalia","Sinin","Malta","338","Steaming",,"1","1","1"
"5173","2/13/2011",,"-99",,"Hijacked","Yemen","Yemen","679","12","52.035","1","1",".",".","Around 8NM Aouth of Samhah Island, Temen. Gulf of Aden","Al Fardous","Yemen","679","Steaming",,"1","1","1"
"5174","2/14/2011","19:30","3",,"Boarded","Malaysia","Malaysia","820","5.4167","115.3","1","1",".",".","Off Labuan, Malaysia","Ever Master","Malaysia","820","Steaming","1","1","1","2"
"5175","2/16/2011","13:00","2",,,"India","India","750","20.8867","69.6517","1","1",".",".","Around 40NM South of Porbandar, India. Off Somalia","NS Century","Liberia","450","Steaming",,"1",,"-99"
"5176","2/17/2011","5:40","4",,"Boarded","Indonesia","Indonesia","850","1.135","103.5367","1","1",".",".","Singapore Straits","Poorna","India","750","Steaming","1","1","1","2"
"5177","2/17/2011","20:30","3",,"Boarded","Malaysia","Malaysia","820","5.9887","115.841","3","1",".",".","11NM of Kota Kinabalu, Sabah, Malaysia","Panmas","Malaysia","820","Steaming","1","1","1","2"
"5179","2/17/2011","23:30","3",,"Boarded","Bangladesh","Bangladesh","771","22.2333","91.7667","1","1",".",".","Chittagong Alpha Anchorage, Bangladesh","Melina I","Malta","338","Anchored",,"2","1","2"
"5178","2/17/2011","20:00","3",,"Boarded","India","India","750","9.9667","76.25","2","1",".",".","Cochin Anchorage, India","Serpentine","Norway","385","Anchored",,"2","1","2"
"5180","2/18/2011","13:23","2",,"Hijacked","Oman","Oman","698","18","61.0333","1","1",".",".","Around 345NM Exn of Salalah, Oman. Off Somalia","Quest","USA","2","Steaming","1","1","1","1"
"5181","2/19/2011","7:28","1",,,"Seychelles","Seychelles","591","-11.55","50.75","1","1",".",".","Around 90NM off Northern Madagascar. Off Somalia","Delmas Keta","Cyprus","352","Steaming","1","1",,"-99"
"5182","2/19/2011","14:16","2",,,"Yemen","Yemen","679","12.3167","44.1","1","1",".",".","Gulf of Aden","Lopi Z","Marshall Islands","983","Steaming","1","1",,"-99"
"5183","2/19/2011","0:01","4",,"Boarded","Indonesia","Indonesia","850","-3.7367","114.4267","1","1",".",".","Taboneo Anchorage, Indonesia","Capstone","Panama","95","Anchored",,"2","1","2"
"5184","2/21/2011","20:00","3",,"Boarded","Bangladesh","Bangladesh","771","22.2667","91.7333","1","1",".",".","Chirragong Anchorage, Bangladesh","Asashio Maru","Japan","740","Anchored",,"2","1","2"
"5185","2/21/2011","3:17","4",,"Boarded","Philippines","Philippines","840","14.6","120.8667","1","1",".",".","Manila North Anchorage, Philippines","Westerems","Liberia","450","Anchored",,"2","1","2"
"5186","2/21/2011","4:00","4",,"Boarded","Bangladesh","Bangladesh","771","22.2167","91.7932","2","1",".",".","chittagong Outer Anchorage, Bangladesh","Wehr Blankenese","Marshall Islands","983","Anchored",,"2","1","2"
"5187","2/22/2011","12:36","2",,"Hijacked","Internationa Waters (Indian Ocean)","Seychelles","591","1.8167","56.5833","1","1",".",".","Around 360NM North of Seychelles Island. Off Somalia","Beluga Nomination","Antigua and Barbuda","58","Steaming","1","1","1","1"
"5188","2/24/2011",,"-99",,"Hijacked","Somalia","Somalia","520","4.9115","48.4136","5","1",".",".","Off Somalia","ING","Denmark","390","Steaming","1","1","1","1"
"5190","2/25/2011","8:10","1",,,"Internationa Waters (Arabian Sea)","Oman","698","14.7","58.7667","1","1",".",".","Around 295NM SE of Salalah, Oman. Off Somalia","Great Legend","Hong Kong","710","Steaming","1","1",,"-99"
"5192","2/25/2011","11:44","1",,,"Oman","Oman","698","15.3333","58.4","1","1",".",".","Around 270NM SE Salalah, Oman. Off Somalia","Genco Augustus","Hong Kong","710","Steaming",,"1",,"-99"
"5189","2/25/2011","8:42","1",,,"Internationa Waters (Arabian Sea)","Yemen","679","11.5667","61.5667","1","1",".",".","Around 410NM East of Socotra Island, Yemen. Off Somalia","Bani Yas","Liberia","450","Steaming","1","1",,"-99"
"5193","2/25/2011","12:55","2",,,"Internationa Waters (Arabian Sea)","Oman","698","14.9867","58.835","1","1",".",".","Around 295NM SE of Salalah, Oman. Off Somalia","MSC Camille","Panama","95","Steaming",,"1",,"-99"
"5191","2/25/2011","5:30","4",,,"Internationa Waters (Arabian Sea)","Oman","698","14.7667","58.65","1","1",".",".","Around 290NM SE of Salalah, Oman. Off Somalia","MSC Kalina","Panama","95","Steaming","1","1",,"-99"
"5194","2/26/2011","3:10","4",,"Boarded","Vietnam","Vietnam","816","20.7167","107.2117","1","1",".",".","Campha Anchorage, Vietnam","Sam Dragon","Hong Kong","710","Anchored",,"2","1","2"
"5195","2/27/2011","5:30","4",,,"Oman","Oman","698","20.4833","60.1333","1","1",".",".","Around 120NM SxE of Ras al Hadd, Oman. Off Somalia","Kiran Asya","Turkey","640","Steaming","1","1",,"-99"
"5196","2/28/2011","6:00","4",,"Hijacked","Oman","Oman","698","18.8","58.4167","1","1",".",".","Around 265NM NE of Salalah, Oman. Off Somalia","Dover","Panama","95","Steaming",,"1","1","1"
"5197","2/28/2011","16:30","2",,,"Oman","Oman","698","16.7333","55.6167","1","1",".",".","Around 90NM ExS of Salalah, Oman. Off Somalia","Alfa Karadeniz","Turkey","640","Steaming",,"1",,"-99"
"5198","3/1/2011","11:00","1",,,"Internationa Waters (Indian Ocean)","Somalia","520","-2.4","46.1167","1","1",".",".","Around 265NM SxE of Mogadishu, Somalia","NA","Spain","230","Steaming",,"1",,"-99"
"5199","3/2/2011","7:50","1",,"Boarded","Internationa Waters (Arabian Sea)","India","750","12.1967","64.9733","1","1",".",".","550NM East of Socotra, Yemen. Off Somalia","Capricorn","Belgium","211","Steaming","1","1","1","2"
"5204","3/3/2011","17:30","2",,,"Nigeria","Nigeria","475","6.3117","3.4167","1","1",".",".","3NM South of Lagos Fairway Buoy, Nigeria","Maersk Etienne","France","220","Anchored","1","2",,"-99"
"5201","3/3/2011","9:00","1",,,"Internationa Waters (Arabian Sea)","Yemen","679","11.9667","58.9167","1","1",".",".","Around 260NM East of Socotra Island, Yemen. Off Somalia","Voge Dignity","Liberia","450","Steaming","1","1",,"-99"
"5205","3/3/2011","3:00","4",,"Hijacked","Benin","Benin","434","6.3432","2.4265","3","1",".",".","Around 12,5NM of Cotonou, Benin","Duzgit Venture","Malta","338","Steaming",,"1","1","1"
"5200","3/3/2011","10:50","1",,,"Internationa Waters (Arabian Sea)","Yemen","679","9.9917","62.4333","1","1",".",".","Around 500NM ESE of Socotra Island, Yemen. Off Somalia","Front Pride","Marshall Islands","983","Steaming","1","1",,"-99"
"5202","3/3/2011","8:40","1",,,"Yemen","Yemen","679","15.3867","52.0717","1","1",".",".","Gulf of Aden","Brattingsborg","Singapore","830","Steaming","1","1",,"-99"
"5203","3/3/2011","6:15","1",,,"Oman","Oman","698","17.52","57.5317","1","1",".",".","Sround 205NM ExN of Salalah, Oman. Off Somalia","D&K 1","UAE","696","Steaming",,"1",,"-99"
"5208","3/4/2011","9:22","1",,,"Internationa Waters (Arabian Sea)","Oman","698","18.5833","63.7833","1","1",".",".","Around 320NM SE of Ras al Hadd, Oman. Off Somalia","Aegea","Greece","350","Steaming","1","1",,"-99"
"5206","3/4/2011","7:27","1",,,"Internationa Waters (Indian Ocean)","Seychelles","591","-4.795","48.7217","1","1",".",".","Sround 420NM West of Seychelles Islands. Off Somalia","E.R. Elsfleth","Liberia","450","Steaming",,"1",,"-99"
"5207","3/4/2011","10:30","1",,,"Internationa Waters (Arabian Sea)","India","750","11.05","64.7","1","1",".",".","Around 520NM WNW of Minicoy Island, India. Off Somalia","CMA CGM Musset","Malta","338","Steaming","1","1",,"-99"
"5210","3/4/2011","20:29","3",,,"Internationa Waters (Arabian Sea)","Oman","698","17.5667","61.6167","1","1",".",".","Around 380NM West of Seychelles Islands. Off Somalia","Argent Gerbera","Marshall Islands","983","Steaming",,"1",,"-99"
"5209","3/4/2011","10:45","1",,,"Oman","Oman","698","20.6367","59.2017","1","1",".",".","Around 115NM South of Ras al Hadd, Oman. Off Somalia","Ince Pacific","Turkey","640","Steaming",,"1",,"-99"
"5212","3/5/2011","12:22","2",,"Boarded","Internationa Waters (Arabian Sea)","Oman","698","16.05","62.7667","1","1",".",".","Around 526NM NE of Socotra Island, Yemen. Off Somalia","Guanabara","Bahamas","31","Steaming","1","1","1","2"
"5211","3/5/2011","13:47","2",,,"Internationa Waters (Arabian Sea)","India","750","12.03","66.2383","1","1",".",".","Around 450NM NW of Minicoy Island, India. Off Somalia","Chariot","St. Vincent and Grenadines","57","Steaming",,"1",,"-99"
"5213","3/6/2011","5:40","4",,,"Somalia","Somalia","520","7.4067","51.8367","1","1",".",".","Around 500NM NE of Mogadishu, Somalia","KMC Rhino","Comoros","581","Steaming","1","1",,"-99"
"5214","3/7/2011","01:00/03:00","4",,"Boarded","Vietnam","Vietnam","816","20.6967","107.2233","1","1",".",".","Cai Lan Pilot Station, Vietnam","Forest Harmony","Panama","95","Anchored",,"2","1","2"
"5215","3/8/2011","8:00","1",,"Boarded","Malaysia","Malaysia","820","1.3283","104.2883","1","1",".",".","Off Pulau Mungging, Malaysia","Maersk Christiansbro","Luxemburg","212","Anchored",,"2","1","2"
"5216","3/8/2011","13:45","2",,,"Seychelles","Seychelles","591","-7.55","48.8167","1","1",".",".","Around 390NM SW of Comoros","Maersk Alabama","USA","2","Steaming",,"1",,"-99"
"5218","3/9/2011","3:10","4",,"Boarded","Malaysia","Malaysia","820","1.3217","104.2583","1","1",".",".","Tanjung Bulat, Malaysia","Front Queen","Marshall Islands","983","Anchored",,"2","1","2"
"5217","3/9/2011","2:45","4",,"Boarded","Indonesia","Indonesia","850","-6","106.8833","1","1",".",".","Tanjung Priok Anchorage, Jakarta, Indonesia","Glory Star","Vietnam","816","Anchored",,"2","1","2"
"5219","3/10/2011","5:10","4",,,"Internationa Waters (Arabian Sea)","India","750","13.65","65.3333","1","1",".",".","Around 550NM NW of Minicoy Island, India. Off Somalia","RT Leader","Malta","338","Steaming",,"1",,"-99"
"5220","3/10/2011","5:01","4",,,"Internationa Waters (Arabian Sea)","India","750","13.65","65.3333","1","1",".",".","Around 550NMNW of Minicoy Island, India. Off Somalia","RT Champion","Malta","338","Steaming",,"1",,"-99"
